4888,272761,1,500,1.0002
4888,272762,1,500,0.9985
4889,272774,1,500,0.9192
4889,272775,1,500,0.9203
4889,272776,1,500,0.9231
4890,272782,1,500,0.9199
4890,272783,1,500,0.9207
4890,272784,1,500,0.9220
4890,272785,1,500,0.9238
4890,272786,1,500,0.9244
4892,272798,1,500,0.9258
4892,272798,501,1000,0.9258
4892,272798,1001,1500,0.9258
4892,272798,1501,2000,0.9258
4895,272811,1,500,0.8848
4895,272812,1,500,0.8848
4895,272814,1,500,0.8855
4895,272815,1,500,0.8853
4895,272816,1,500,0.8852
4895,272818,1,500,0.8857
4895,272818,501,1000,0.8868
4896,272827,1,500,0.8998
4896,272828,1,500,0.8848
4905,272930,1,500,0.8842
4906,272936,1,500,0.8837
4910,273013,1,500,0.8833
4910,273017,1,500,0.8840
4910,273017,501,1000,0.8851
4915,273150,1,500,0.8794
4915,273158,1,500,0.8795
4915,273158,501,1000,0.8800
4915,273158,1001,1500,0.8805
4919,273291,1,500,0.8798
4919,273299,1,500,0.8797
4919,273301,1,500,0.8800
4919,273301,501,1000,0.8802
4919,273302,1,500,0.8805
4924,273402,1,500,0.8809
4924,273405,1,500,0.8807
4924,273406,1,500,0.8808
4924,273409,1,500,0.8810
4924,273410,1,500,0.8812
4924,273411,1,500,0.8826
4925,273425,1,500,0.8799
4925,273425,501,1000,0.8801
4925,273426,1,500,0.8807
4926,273449,1,500,0.8788
4926,273450,1,500,0.8790
4926,273450,501,1000,0.8792
